Disease,County,Year,Sex,Count,Population,Rate,CI.lower,CI.upper,Unstable,Calculated_Rate,Rate_Diff,Year_Index,Decade
Amebiasis,California,2001,Total,571,34514777,1.654,1.521,1.796, ,1.6543638685540398,0.00036386855403991447,1,2000
Amebiasis,California,2001,Female,176,17340743,1.015,0.871,1.176, ,1.0149507434600697,4.9256539930153664e-05,1,2000
Amebiasis,California,2001,Male,365,17174034,2.125,1.913,2.355, ,2.125301487117121,0.0003014871171211908,1,2000
Amebiasis,California,2002,Total,442,34940334,1.265,1.15,1.389, ,1.2650136658682198,1.3665868219936428e-05,2,2000
Amebiasis,California,2002,Female,145,17555714,0.826,0.697,0.972, ,0.8259419127014714,5.808729852851968e-05,2,2000
Amebiasis,California,2002,Male,279,17384620,1.605,1.422,1.805, ,1.604866830566328,0.00013316943367192025,2,2000
Amebiasis,California,2003,Total,403,35390986,1.139,1.03,1.255, ,1.138708031474455,0.0002919685255449167,3,2000
Amebiasis,California,2003,Female,127,17783924,0.714,0.595,0.85, ,0.714128108059841,0.00012810805984098117,3,2000
Amebiasis,California,2003,Male,261,17607062,1.482,1.308,1.674, ,1.4823597486054174,0.0003597486054174315,3,2000
Amebiasis,California,2004,Total,359,35754827,1.004,0.903,1.113, ,1.0040602349998784,6.0234999878394646e-05,4,2000
Amebiasis,California,2004,Female,101,17969405,0.562,0.458,0.683, ,0.5620664679770978,6.646797709775054e-05,4,2000
Amebiasis,California,2004,Male,247,17785422,1.389,1.221,1.573, ,1.3887778428872815,0.00022215711271855731,4,2000
Amebiasis,California,2005,Total,365,35987637,1.014,0.913,1.124, ,1.014237194845552,0.0002371948455519579,5,2000
Amebiasis,California,2005,Female,103,18088355,0.569,0.465,0.691, ,0.5694271259050367,0.00042712590503679593,5,2000
Amebiasis,California,2005,Male,255,17899282,1.425,1.255,1.611, ,1.4246381502900507,0.00036184970994934673,5,2000
Amebiasis,California,2006,Total,377,36248870,1.04,0.938,1.151, ,1.0400324203209645,3.2420320964510196e-05,6,2000
Amebiasis,California,2006,Female,110,18220429,0.604,0.496,0.728, ,0.603717947585098,0.00028205241490197874,6,2000
Amebiasis,California,2006,Male,257,18028441,1.426,1.257,1.611, ,1.4255253684996945,0.00047463150030546686,6,2000
Amebiasis,California,2007,Total,433,36554575,1.185,1.076,1.302, ,1.1845302537370495,0.00046974626295059885,7,2000
